"taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Achillea maritima (L.) Ehrend. & Y.P.Guo subsp. maritima",79.9,1,79.9,79.9
"Arisarum vulgare O.Targ.Tozz. subsp. vulgare",0.8,1,0.8,0.8
"Aristolochia clematitis L.",71.4,1,71.4,71.4
"Asplenium trichomanes L. subsp. trichomanes",79.3,1,79.3,79.3
"Atriplex prostrata Boucher ex DC.",24.4,1,24.4,24.4
"Azolla filiculoides Lam.",75,2,56.1,43
"Bellardia viscosa (L.) Fisch. & C.A.Mey.",53.7,1,53.7,53.7
"Carex sylvatica Huds. subsp. sylvatica",98.5,2,87.9,87.6
"Centaurea aplolepa Moretti subsp. subciliata (DC.) Arcang.",30.6,2,19.6,13.7
"Cerastium semidecandrum L.",77.9,1,77.9,77.9
"Ceratophyllum demersum L.",1.8,1,1.8,1.8
"Cistus salviifolius L.",79.9,1,79.9,79.9
"Cornus mas L.",87.6,1,87.6,87.6
"Crepis leontodontoides All.",0.9,1,0.9,0.9
"Equisetum palustre L.",42.6,1,42.6,42.6
"Equisetum ramosissimum Desf. subsp. ramosissimum",1.8,1,1.8,1.8
"Erica arborea L.",82,1,82,82
"Ervum gracile DC.",17.8,1,17.8,17.8
"Euonymus europaeus L.",87.6,1,87.6,87.6
"Euphorbia chamaesyce L.",1.8,1,1.8,1.8
"Ficus carica L.",77.7,1,77.7,77.7
"Fraxinus ornus L. subsp. ornus",80.1,1,80.1,80.1
"Genista germanica L.",59.1,1,59.1,59.1
"Hedera helix L. subsp. helix",84.6,2,62.3,59.1
"Hypericum androsaemum L.",87.6,1,87.6,87.6
"Jacobaea erucifolia (L.) P.Gaertn., B.Mey & Scherb. subsp. erucifolia",1.8,1,1.8,1.8
"Lathyrus aphaca L. subsp. aphaca",78.5,1,78.5,78.5
"Lathyrus clymenum L.",1.8,1,1.8,1.8
"Lathyrus sphaericus Retz.",71.9,1,71.9,71.9
"Ligustrum vulgare L.",87.6,1,87.6,87.6
"Lonicera caprifolium L.",97.7,3,75.3,68.4
"Lonicera implexa Aiton subsp. implexa",83.4,1,83.4,83.4
"Lysimachia nummularia L.",87.6,1,87.6,87.6
"Lythrum salicaria L.",87.6,1,87.6,87.6
"Medicago ciliaris (L.) All.",39,1,39,39
"Medicago intertexta (L.) Mill.",1.8,1,1.8,1.8
"Melica uniflora Retz.",70.4,1,70.4,70.4
"Myrtus communis L.",87.6,1,87.6,87.6
"Nasturtium officinale R.Br.",44.2,1,44.2,44.2
"Odontites vernus (Bellardi) Dumort. subsp. serotinus (Dumort.) Corb.",63.4,1,63.4,63.4
"Oenanthe fistulosa L.",56.3,1,56.3,56.3
"Oenanthe peucedanifolia Pollich",46.2,1,46.2,46.2
"Onobrychis caput-galli (L.) Lam.",43,1,43,43
"Pancratium maritimum L.",62.5,1,62.5,62.5
"Phalaris coerulescens Desf.",1.9,1,1.9,1.9
"Phyla nodiflora (L.) Greene",62.5,1,62.5,62.5
"Pinus pinaster Aiton",18.8,1,18.8,18.8
"Pistacia terebinthus L. subsp. terebinthus",1.8,1,1.8,1.8
"Platanthera chlorantha (Custer) Rchb.",87.6,1,87.6,87.6
"Potentilla reptans L.",80.8,1,80.8,80.8
"Prunus spinosa L. subsp. spinosa",97.3,2,87.6,78.3
"Quercus ilex L. subsp. ilex",87.6,1,87.6,87.6
"Quercus robur L. subsp. robur",62.3,1,62.3,62.3
"Spergula arvensis L.",56.3,1,56.3,56.3
"Sporobolus virginicus (L.) Kunth",54.4,1,54.4,54.4
"Trifolium dubium Sibth.",55.2,1,55.2,55.2
"Tuberaria guttata (L.) Fourr.",69.4,1,69.4,69.4
"Typha latifolia L.",69.4,1,69.4,69.4
"Veronica officinalis L.",78.5,1,78.5,78.5
